P.x	P.y
0.871392417672693	0.57841216946095
0.853370848395304	0.634101021771461
0.867821777758414	0.663400664493959
0.829248160602391	0.611792225109237
0.883575955794854	0.697200638030684
0.760603616221686	0.868478662363641
0.557952478987669	0.585075349671262
0.841515988955463	0.156105811443845
0.836665686235099	0.429593268328974
0.924373011012822	0.786711818085605
0.710591716711723	0.909093316611903
0.514670432122669	0.229017871432116
0.44330624503283	0.226512270165466
0.234464836759155	0.197681239737738
0.129743206011131	0.170578755106956
0.0584681025125361	0.252459630319158
0.0569056721024077	0.204723287271065
0.043638779332573	0.153918267509959
0.0355649420592306	0.128921741788601
0.042388063379647	0.12303824561079
0.0493617981710264	0.11768264067468
0.0451449883620428	0.141330619362696
0.0650264932722553	0.285768863991981
0.117965488118274	0.354964920682996
0.328013614275982	0.552732395180089
0.0207298133870192	0.695947555529288
0.00262711759562434	0.638702254873135
0.000202846243955465	0.767982476423721
0.000164470178068933	0.780650283873728
0.000158539625412918	0.785030782441813
2.22245316578863e-05	0.754297874580417
1.27760696322735e-05	0.696873460836629
8.76976258788551e-06	0.671005847788094
1.74668860374156e-05	0.615345086444824
2.64507199860882e-05	0.622587281657741
3.35756980575284e-05	0.648778232366063
3.20457615802789e-05	0.546663245772546
2.30210110565948e-05	0.440208950410614
0.000159238450887556	0.411856313817864
0.000250060495263494	0.40461181539994
0.0018258380049809	0.376817709389618
0.00213354567246648	0.339871256311042
0.00187562885558029	0.358879352487701
0.00227112980775638	0.312685938041116
0.00343977038394691	0.300895779597808
0.00529370584834523	0.277388343830578
0.00656167299189111	0.27109044501439
0.0513631721867253	0.300601162424517
0.0545230502983358	0.291278320922897
0.0725264888744118	0.306589483759726
0.081453685147316	0.326576639334736
0.0855526281164531	0.329419056288434
0.0946256264763909	0.357965053879052
0.080739973719141	0.366442029265117
0.0498509571505435	0.353836722841193
0.0308452213846264	0.312863683670544
0.026753457549424	0.221748097808307
0.0259981623662296	0.128603943785171
0.0186653729158808	0.143614653629858
0.0243596563273927	0.153797209716319
0.145496175495053	0.0907023229639794
0.227686164295885	0.0847544469373413
0.385455726847068	0.067531919333569
0.437317466285948	0.104543435323592
0.570220580155902	0.106251043200059
0.630737891773554	0.199765751365822
0.588358904958995	0.236434464849356
0.494857726622297	0.296381040396321
0.474630484976188	0.405494847447969
0.644117413982818	0.555667331714552
0.715011172560972	0.448671989275534
0.719718319716732	0.446353737084906
0.839507921170468	0.448390697609691
0.805811969085205	0.231456660388228
0.442315362475113	0.0201695969959563
0.183758937356635	0.0128956140368685
0.209022137908498	0.0398750892402085
0.0164800319573857	0.00334165104412282
0.0551021522858889	0.00442293711986357
0.0147570677636006	0.00393133028812708
0.0255179013838219	0.0023064997037441
0.0202271311892894	7.10110164142444e-05
0.00829363564405458	4.25725277470995e-05
0.00749387168174977	0.000188371828077456
0.0599499495116446	0.00075323646470962
0.128282030650498	0.00188955633090714
0.132078106150244	0.00229136682090152
0.385092148348441	0.0152802867170012
0.371373691084051	0.0130748650409826
0.554409174488545	0.0181365534194961
0.575701813235872	0.699027254378506
0.646051191736956	0.597065779615807
0.443604408008536	0.126626753104021
0.205081726076038	0.0677230722052557
0.664533666607035	0.67383602779009
0.187223172189431	0.752366144966632
0.233780033657916	0.863765744983745
0.168396824078276	0.841190700260693
0.160367660432515	0.829521682790388
0.168499274625438	0.936396454962672
